year,school,course_name,course_description,course_code,reference
2024,School of Chemical & Life Sciences,Diploma in Biomedical Science,Refer to website,S98,https://www.sp.edu.sg/cls/courses/full-time-diplomas/biomedical-science
2024,School of Computing,Diploma in Applied AI & Analytics,Refer to website,S30,https://www.sp.edu.sg/soc/courses/full-time-diplomas/applied-AI-and-analytics/overview
2024,School of Chemical & Life Sciences,Diploma in Applied Chemistry,Refer to website,S64,https://www.sp.edu.sg/cls/courses/full-time-diplomas/applied-chemistry
2024,School of Chemical & Life Sciences,Diploma in Perfumery & Cosmetic Science,Refer to website,S38,https://www.sp.edu.sg/cls/courses/full-time-diplomas/perfumery-cosmetic-science
2024,School Electrical & Electronic Engineering,Diploma in Engineering with Business,Refer to website,S42,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/engineering-with-business
2024,School of Computing,Diploma in Infocomm Security Management,Refer to website,S54,https://www.sp.edu.sg/soc/courses/full-time-diplomas/infocomm-security-management
2024,School of Chemical & Life Sciences,Diploma in Optometry,Refer to website,S67,https://www.sp.edu.sg/cls/courses/full-time-diplomas/optometry
2024,School Electrical & Electronic Engineering,Diploma in Computer Engineering,Refer to website,S53,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/computer-engineering
2024,"Media, Arts & Design School","Diploma in Media, Arts & Design",Refer to website,S29,https://www.sp.edu.sg/mad
2024,School of Business,Diploma in Accountancy,Refer to website,S75,https://www.sp.edu.sg/sb/courses/full-time-diplomas/DAC
2024,School of Business,Diploma in Business Administration,Refer to website,S71,https://www.sp.edu.sg/sb/courses/full-time-diplomas/business-administration
2024,School of Business,Diploma in Banking & Finance,Refer to website,S76,https://www.sp.edu.sg/sb/courses/full-time-diplomas/banking-finance
2024,School of Business,Common Business Programme,Refer to website,S31,https://www.sp.edu.sg/sb/courses/full-time-diplomas/common-business-programme
2024,School of Business,Diploma in Human Resource Management with Psychology,Refer to website,S48,https://www.sp.edu.sg/sb/courses/full-time-diplomas/human-resource-management-with-psychology
2024,School of Architecture & the Built Environment,Diploma in Architecture,Refer to website,S66,https://www.sp.edu.sg/abe/courses/full-time-diplomas/architecture
2024,School of Chemical & Life Sciences,Diploma in Chemical Engineering,Refer to website,S70,https://www.sp.edu.sg/cls/courses/full-time-diplomas/chemical-engineering
2024,School of Chemical & Life Sciences,Diploma in Food Science & Technology,Refer to website,S47,https://www.sp.edu.sg/cls/courses/full-time-diplomas/food-science-technology
2024,School Electrical & Electronic Engineering,Diploma in Aerospace Electronics,Refer to website,S90,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/aerospace-electronics
2024,School of Mechanical & Aeronautical Engineering,Diploma in Mechatronics & Robotics,Refer to website,S73,https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/mechatronics-and-robotics
2024,School of Computing,Common Infocomm Technology Programme,Refer to website,S32,https://www.sp.edu.sg/soc/courses/full-time-diplomas/common-ict-programme/overview
2024,School of Architecture & the Built Environment,Diploma in Interior Design,Refer to website,S89,https://www.sp.edu.sg/abe/courses/full-time-diplomas/interior-design
2024,School of Computing,Diploma in Information Technology,Refer to website,S69,https://www.sp.edu.sg/soc/courses/full-time-diplomas/information-technology
2024,School of Architecture & the Built Environment,Diploma in Landscape Architecture,Refer to website,S94,https://www.sp.edu.sg/abe/courses/full-time-diplomas/landscape-architecture
2024,School of Architecture & the Built Environment,Diploma in Integrated Events & Project Management,Refer to website,S50,https://www.sp.edu.sg/abe/courses/full-time-diplomas/integrated-events-project-management
2024,School Electrical & Electronic Engineering,Diploma in Electrical & Electronic Engineering,Refer to website,S99,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/electrical-electronic-engineering
2024,School of Mechanical & Aeronautical Engineering,Diploma in Aeronautical Engineering,Refer to website,S88,https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/aeronautical-engineering-
2024,School of Mechanical & Aeronautical Engineering,Common Engineering Programme,Refer to website,S40,https://www.sp.edu.sg/engineering-cluster/mae/courses/common-engineering-programme
2024,School of Mechanical & Aeronautical Engineering,Diploma in Mechanical Engineering,Refer to website,S91,https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/mechanical-engineering
2024,Singapore Maritime Academy,Diploma in Maritime Business,Refer to website,S74,https://www.sp.edu.sg/sma/courses/full-time-diplomas/maritime-business
2024,School of Architecture & the Built Environment,Diploma in Facilities Management,Refer to website,S95,https://www.sp.edu.sg/abe/courses/full-time-diplomas/facilities-management
2024,School of Architecture & the Built Environment,Diploma in Civil Engineering,Refer to website,S68,https://www.sp.edu.sg/abe/courses/full-time-diplomas/civil-engineering
2024,Singapore Maritime Academy,Diploma in Marine Engineering,Refer to website,S63,https://www.sp.edu.sg/sma/courses/full-time-diplomas/marine-engineering
2024,School of Chemical & Life Sciences,Common Science Programme,Refer to website,S28,https://www.sp.edu.sg/cls/courses/full-time-diplomas/common-science-programme/overview
2024,Singapore Maritime Academy,Diploma in Nautical Studies,Refer to website,S01,https://www.sp.edu.sg/sma/courses/full-time-diplomas/nautical-studies/overview
