year,school,course_name,course_code,poly_course_code,course_description,reference
2022,School of Applied Science,Diploma in Pharmaceutical Science,T25,A0L,"Provides skilled manpower not only in the healthcare sector, in particular the hospital and retail pharmacies, but also pharmaceutical industry. Besides medication use, training also extends to R&D, pharmaceutical manufacturing, pharmaceutical analysis and pharmaceutical sales and marketing.",https://www.tp.edu.sg/schools/asc/pharmaceutical-science
2022,School of Applied Science,"Diploma in Food, Nutrition & Culinary Science",T26,A0N,"The course trains you in the areas of food production, healthier food product development, food safety and applied nutrition. You would also pick up basic culinary, baking and product development skills.",https://www.tp.edu.sg/schools/asc/food-nutrition-and-culinary-science
2022,School of Applied Science,Diploma in Chemical Engineering,T33,A0D,"Trains skilled manpower for the needs of the Chemical, Pharmaceutical and Semiconductor Industries.  Graduates will also be equipped with fundamental and applied chemistry knowledge to work in research and testing laboratories.",https://www.tp.edu.sg/schools/asc/chemical-engineering
2022,School of Applied Science,Diploma in Veterinary Technology,T45,A0K,"Provides you with knowledge and skills in animal care, and prepares you for the biomedical, aquaculture, veterinary and pet industries.",https://www.tp.edu.sg/schools/asc/veterinary-technology
2022,School of Applied Science,Diploma in Medical Biotechnology,T64,A0M,"Provides skilled manpower not only in the biomedical sciences but also biotechnology industries, particularly in clinical services, technical support, product development and bioanalytical services.",https://www.tp.edu.sg/schools/asc/medical-biotechnology
2022,School of Business,Common Business Programme,T01,B0Q,"Designed to help you explore various business disciplines. At the end of one semester, you will make an informed decision by ranking your preferred choices of 7 business diplomas. ",https://www.tp.edu.sg/schools/bus/common-business-programme
2022,School of Business,Diploma in Accountancy & Finance,T02,B0R,Equips you with core business competencies and professional training that position you to thrive in both the accountancy profession and the financial services industry.,https://www.tp.edu.sg/schools/bus/accountancy-and-finance
2022,School of Business,Diploma in International Trade & Logistics,T07,B0S,"With more consumers turning to e-commerce and international trade becoming more complex, the demand for logistics professionals has never been greater.

Your industry readiness will be ensured through a firm foundation in business studies and specialised supply chain training to meet the demands of a technology-driven business environment and globalised world. ",https://www.tp.edu.sg/schools-and-courses/students/schools/bus/international-trade-and-logistics.html
2022,School of Business,Diploma in Hospitality & Tourism Management,T08,B0K,"This course allows you to widen your career options and be globally marketable. Unlock skills to create memorable customer experiences, trot the globe to deepen cross cultural experiences, and accelerate your job experiences in the Hospitality & Tourism (H&T) context. Stand out as a H&T superhost with the passion to meet people; agile and flexible problem solving skills to navigate tourism jobs of tomorrow.",https://www.tp.edu.sg/schools/bus/hospitality-and-tourism-management
2022,School of Business,Diploma in Law & Management,T09,B0G,A niche course offered only at Temasek Polytechnic that prepares you to join the legal industry as allied legal professionals.,https://www.tp.edu.sg/schools/bus/law-and-management
2022,School of Business,Diploma in Business,T10,B0C,"A broad-based diploma that offers you the choice to deepen your skills in one of 4 specialisations - Banking and Finance, Digital Business Innovation, Human Resource Management with Psychology or International Business and Entrepreneurship.",https://www.tp.edu.sg/schools/bus/business
2022,School of Business,Diploma in Culinary & Catering Management,T18,B0M,A pioneering culinary diploma in collaboration with the reputed Culinary Institute of America (CIA) that provides students with solid F&B business fundamentals before specialising in either Baking and Pastry or Culinary Arts.,https://www.tp.edu.sg/schools/bus/culinary-and-catering-management
2022,School of Business,Diploma in Communications & Media Management,T40,B0E,Trains you in journalism and content creation for broadcast and digital media. You will learn to integrate marketing and technical skills to develop a business mindset for media operations.,https://www.tp.edu.sg/schools/bus/communications-and-media-management
2022,School of Business,Diploma in Marketing,T67,B0I,Gives you a strong foundation in marketing and key competencies in marketing analytics and consumer insights and allows you to specialise in either Branding and Digital Marketing or E-commerce and Retail Marketing. ,https://www.tp.edu.sg/schools/bus/marketing
2022,School of Design,Diploma in Apparel Design & Merchandising,T20,D0C,"Gives a broad overview of the fashion industry and the fashion life cycle from concept creation, design and production to marketing, brand storytelling and distribution. You can specialise in either fashion design or retail merchandising. ",https://www.tp.edu.sg/schools/des/apparel-design-and-merchandising
2022,School of Design,Diploma in Interior Architecture & Design,T22,D0A,"Focuses on the creation of innovative and exciting interior spaces, primarily through the adaptation and spatial manipulation of existing buildings. It emphasises a unique combination of architecture and interior design principles to create beautiful and liveable spaces for 21st century lifestyles.",https://www.tp.edu.sg/schools/des/interior-architecture-and-design
2022,School of Design,Diploma in Digital Film & Television,T23,D0J,An award-winning course that emphasises the creative and technical aspects of compelling story-telling through film and video while immersing students in the business end of film-making.,https://www.tp.edu.sg/schools/des/digital-film-and-television
2022,School of Design,Diploma in Product & Industrial Design,T35,D0E,Focuses on creating impactful and meaningful solutions in product and experience design through the use of human-centred design principles with cutting edge technology in prototyping and production. ,https://www.tp.edu.sg/schools-and-courses/students/schools/des/product-experience-and-design.html
2022,School of Design,Diploma in Communication Design,T59,D0K,"An award-winning pioneer in visual communication focused on crafting delightful experiences through the integration of design, business and technology. The future is yours to design.",https://www.tp.edu.sg/schools/des/communication-design
2022,School of Engineering,Diploma in Aviation Management,T04,E1G,"Gives you specialised aviation management skills and business knowledge to manage world class airports and airlines.  You will have various internship opportunities with CAAS, CAG, SIA, Cathay Pacific and Scoot. ",https://www.tp.edu.sg/schools/eng/aviation-management
2022,School of Engineering,Diploma in Computer Engineering,T13,E0C,"Trains you in hardware, software and how to integrate them, to make you an enabler of today's technologies such as the Internet of Things, artificial intelligence, smart systems, and big data.",https://www.tp.edu.sg/schools/eng/computer-engineering
2022,School of Engineering,Diploma in Integrated Facility Management,T28,E0W,"Trains you to manage the features, amenities, aesthetics and functionality of modern facilities such as IRs, airports, business/convention centres, offices, entertainment hubs, and tourist attractions.",https://www.tp.edu.sg/schools/eng/integrated-facility-management
2022,School of Engineering,Diploma in Architectural Technology & Building Services ,T29,E1H,An inter-disciplinary course that integrates sustainability in architectural design and technology in building systems. It also equips you with energy management core competencies  that position you to thrive in both the architectural profession and the sustainable built environment industry.,https://www.tp.edu.sg/schools/eng/architectural-technology-and-building-services
2022,School of Engineering,Diploma in Biomedical Engineering,T38,E1F,"An inter-disciplinary course that trains you in biological techniques and biomedical instrumentation and their usage in the human body, allowing you to tap into the growing MedTech and healthcare sectors. ",https://www.tp.edu.sg/schools/eng/biomedical-engineering
2022,School of Engineering,Diploma in Business Process & Systems Engineering,T43,E0K,Infuses business concepts and management principles into a core of engineering fundamentals;  this will make you a multi-disciplinary professional with versatile career prospects and further study options.,https://www.tp.edu.sg/schools/eng/business-process-and-systems-engineering
2022,School of Engineering,Diploma in Aerospace Electronics,T50,E0U,"Focuses on avionics. TP is the first local Poly certified by CAAS as a SAR-147 Approved Maintenance Training Organisation, so your diploma is more widely recognised by aerospace-related industries.",https://www.tp.edu.sg/schools/eng/aerospace-electronics
2022,School of Engineering,Diploma in Aerospace Engineering,T51,E0T,"Focuses on aircraft design and engine systems. TP is the first local Poly certified by CAAS as a SAR-147 Approved Maintenance Training Organisation, so your diploma is more widely recognised by aerospace-related industries.",https://www.tp.edu.sg/schools/eng/aerospace-engineering
